"bossid"	"jobid"	"lat"	"lng"
3085517	3904553	39.8941	116.48
3085517	4992778	39.8941	116.48
3087208	5166645	39.9071	116.456
3087208	5469622	39.9071	116.456
3087521	6036593	39.8912	116.469
3087569	3293600	39.91	116.444
3091495	1820903	39.9179	116.452
3093304	5820984	39.9117	116.481
3102422	3975809	39.9091	116.474
3102422	5703040	39.9091	116.474
3102801	1505330	39.9289	116.444
3126637	1496743	39.8862	116.464
3126637	1506659	39.8862	116.464
3127515	4446635	39.9161	116.453
3135892	1508681	39.9216	116.439
3137603	5059738	39.9161	116.493
3147036	1523197	39.9171	116.452
3147036	4440313	39.9171	116.452
3164743	3249009	39.9216	116.439
3166760	4459575	39.9074	116.476
3172145	1556204	39.8927	116.466
3172398	1824461	39.9316	116.451
3172398	1824496	39.9316	116.451
3172753	2254490	39.9197	116.449
3176788	3995787	39.9161	116.493
3179860	6192691	39.9123	116.461
3180537	5733948	39.907	116.457
3180537	5737250	39.907	116.457
3181065	1568183	39.8847	116.473
3199225	1614706	39.895	116.462
3200734	4370004	39.9096	116.481
3201112	3358356	39.9102	116.448
3201638	1610013	39.914	116.46
3205363	4450506	39.9111	116.458
3206301	1602006	39.894	116.463
3208619	1604994	39.894	116.479
3208619	1890920	39.894	116.479
3208619	3575847	39.894	116.479
3212773	5862446	39.9226	116.44
3214941	2606446	39.9344	116.467
3215233	6095055	39.8938	116.478
3219431	4418945	39.9346	116.455
3220683	2968834	39.933	116.454
3223366	6022162	39.9212	116.462
3223366	6092254	39.9212	116.462
3223783	5845477	39.894	116.48
3226790	1629295	39.8874	116.441
3229705	1632846	39.8991	116.461
3233307	1637175	39.8943	116.477
3238754	3892661	39.9221	116.438
3252863	1660559	39.9072	116.496
3264202	5456301	39.9161	116.493
3265648	1675369	39.894	116.455
3265648	5933490	39.894	116.455
3267793	3585963	39.8941	116.48
3267793	3795506	39.8941	116.48
3269463	5432851	39.8938	116.478
3270725	1681413	39.907	116.457
3270725	3134078	39.907	116.457
3277308	1691801	39.8935	116.479
3279120	1691301	39.9283	116.447
3281736	2019871	39.8944	116.461
3285580	5558502	39.9169	116.452
3285580	5559729	39.9169	116.452
3285580	5589623	39.9169	116.452
3286629	5014939	39.9224	116.433
3286629	5106832	39.9224	116.433
3286629	6092990	39.9224	116.433
3292736	3731990	39.9216	116.439
3297810	3412226	39.9193	116.444
3298928	2323845	39.9032	116.427
3323277	1729611	39.9076	116.44
3326668	2387897	39.8948	116.462
3326668	4014167	39.8948	116.462
3326668	4021455	39.8948	116.462
3332825	1836321	39.9312	116.451
3345135	1756969	39.9054	116.456
3345135	3186533	39.9054	116.456
3347809	1746283	39.9103	116.472
3347809	3214228	39.9103	116.472
3351387	4522436	39.9243	116.451
3360298	6053914	39.9318	116.455
3362464	5057113	39.9042	116.435
3371555	3050085	39.9222	116.44
3371555	5179248	39.9222	116.44
3397179	1783113	39.8941	116.48
34037	3394803	39.9167	116.451
3404562	4398593	39.9213	116.44
3411058	3373418	39.9216	116.439
3420818	5365102	39.8938	116.449
3428268	2845305	39.9091	116.451
3429741	5614017	39.9329	116.459
3429741	6018250	39.9329	116.459
3430642	3236437	39.9126	116.458
3430642	3238957	39.9126	116.458
3432631	1807083	39.8965	116.46
3432631	2365835	39.8965	116.46
3432631	2946406	39.8965	116.46
3433705	3020352	39.9217	116.438
3444772	4661721	39.9323	116.451
3444772	4689618	39.9323	116.451
3468634	2413910	39.8998	116.486
3472285	2541085	39.9189	116.488
3489358	1868963	39.9063	116.461
3501664	5959845	39.907	116.457
3510260	1910263	39.8921	116.478
3510260	5770902	39.8921	116.478
3510260	5770909	39.8921	116.478
3514578	4986205	39.9077	116.471
3524314	4551442	39.9094	116.48
3524489	5600284	39.9091	116.474
3551740	2196483	39.9177	116.459
3558502	5482424	39.894	116.478
3558502	5482428	39.894	116.478
3564041	1906605	39.9174	116.441
3565795	3517614	39.9058	116.461
3565795	3549899	39.9058	116.461
3565795	3629435	39.9058	116.461
3567720	3440219	39.9228	116.45
3570081	2489896	39.9104	116.472
3574287	4559081	39.8867	116.463
3574426	1909415	39.8938	116.479
3584899	5377178	39.9132	116.471
3594194	3905472	39.9226	116.459
3605033	1932515	39.9324	116.457
3605033	1936483	39.9324	116.457
3605033	1936491	39.9324	116.457
3605033	1945570	39.9324	116.457
3607117	1942979	39.9176	116.443
3607309	1934046	39.9006	116.479
3608104	3843551	39.8991	116.461
3626906	2122475	39.8994	116.478
3627063	1977442	39.9161	116.461
3629248	1952083	39.8943	116.451
3637618	4885954	39.9322	116.454
3637618	5260722	39.9322	116.454
3639538	3905456	39.9125	116.433
3653111	1972026	39.9069	116.43
3653111	2394273	39.9069	116.43
3656334	1974726	39.9131	116.473
3656334	5200749	39.9131	116.473
3656334	6178258	39.9131	116.473
3671100	2131201	39.9286	116.449
3673235	1987714	39.914	116.459
3673470	4015764	39.894	116.478
3675167	1989273	39.9082	116.451
3675167	2696387	39.9082	116.451
3682369	1994774	39.921	116.463
36913	6168007	39.9201	116.443
3705822	5875661	39.9091	116.481
3721995	5787450	39.9221	116.479
3727615	2062655	39.9328	116.453
3727615	3839743	39.9328	116.453
3727615	3839830	39.9328	116.453
3727849	2025267	39.9071	116.458
3729628	2026322	39.9212	116.438
3733282	2039612	39.9075	116.472
3733513	2905861	39.9171	116.452
3737483	3290213	39.9162	116.494
3745505	2036065	39.9172	116.478
3757010	3983185	39.8955	116.466
3771504	2049722	39.8941	116.48
3781391	2060506	39.9126	116.473
3793135	5816314	39.8936	116.443
3800147	4620771	39.9168	116.453
3800225	3191144	39.8939	116.478
3803967	2068473	39.9341	116.451
3803967	2381598	39.9341	116.451
3803967	2381602	39.9341	116.451
3803967	2381616	39.9341	116.451
3806219	5568116	39.909	116.48
3806219	6201301	39.909	116.48
3806291	2068193	39.894	116.478
3809513	4365948	39.9344	116.454
3809513	6102461	39.9344	116.454
3820913	5601936	39.9085	116.449
3823026	2077396	39.894	116.478
3823026	2770965	39.894	116.478
3845088	3859320	39.9173	116.453
3889757	5795026	39.894	116.48
3900635	3511433	39.9113	116.457
3906072	3806992	39.9156	116.454
3906072	3830083	39.9156	116.454
3906521	5461816	39.9216	116.439
3918564	6193931	39.894	116.481
3927314	2671718	39.9094	116.473
3927645	2123161	39.894	116.48
3927645	5798590	39.894	116.48
3927645	5916696	39.894	116.48
3931654	2123863	39.9009	116.466
3936493	4666652	39.9114	116.428
3945068	3101108	39.91	116.444
3945068	3263833	39.91	116.444
3955694	2136797	39.9349	116.454
3959179	3321287	39.9029	116.428
3960860	3598312	39.8847	116.473
3976209	3163783	39.9098	116.463
3976464	2215611	39.9221	116.461
4001313	2731748	39.9166	116.451
4021802	2174387	39.9045	116.435
4025979	6020905	39.9091	116.481
4059374	4385682	39.9308	116.481
4061002	4181259	39.923	116.44
4061742	6189003	39.8947	116.477
4069913	5795727	39.8989	116.452
4069913	5818781	39.8989	116.452
41082	2072035	39.9132	116.452
4110385	2221846	39.9323	116.454
4112097	4093248	39.9199	116.449
4112568	5908292	39.9224	116.449
4125810	2229738	39.9259	116.455
4125810	2524499	39.9259	116.455
4125810	2650244	39.9259	116.455
4131173	2502640	39.933	116.453
4147711	5633381	39.9242	116.456
4169390	5503605	39.8955	116.461
4169390	5522835	39.8955	116.461
4170858	4897044	39.9076	116.471
4190310	6073384	39.9109	116.459
4210126	2558825	39.916	116.492
4212796	4268506	39.8939	116.479
4222222	4269754	39.9234	116.45
4241204	4764947	39.9117	116.46
4244019	2309496	39.9062	116.474
4244019	2658801	39.9062	116.474
4245930	2311330	39.8847	116.473
4252446	2316357	39.9032	116.427
4262647	5315340	39.912	116.461
4266730	4150265	39.9102	116.479
4271200	6041560	39.9187	116.453
4283705	3533325	39.9349	116.455
4300841	5942291	39.916	116.453
4303665	5420446	39.8951	116.463
4312161	5321854	39.917	116.451
4322261	3407254	39.8923	116.449
4339705	5259392	39.8921	116.478
4339705	5984706	39.8921	116.478
4340167	4065906	39.9091	116.481
4348472	5151164	39.9157	116.437
4348472	5864484	39.9157	116.437
4352281	6114287	39.9123	116.459
4363407	2398297	39.8938	116.475
4371251	2804789	39.9041	116.443
4372675	5977331	39.9009	116.463
4378444	2409944	39.9323	116.454
4378444	2957297	39.9323	116.454
4382288	2413291	39.9197	116.455
4385857	4389824	39.9038	116.427
4385857	4886389	39.9038	116.427
4391170	2420088	39.8872	116.479
4409018	5083050	39.9076	116.477
44092	4385	39.9328	116.459
4410149	2892065	39.907	116.449
4416371	5451457	39.9185	116.459
4417172	2441853	39.9215	116.443
4421495	2444889	39.933	116.454
4421495	2534281	39.933	116.454
4421495	6137276	39.933	116.454
4421965	5435489	39.8997	116.456
4425228	2447844	39.8949	116.479
4437242	2873273	39.9317	116.444
4437242	2972225	39.9317	116.444
4450185	4498842	39.9068	116.47
4450275	5294522	39.9174	116.459
4450516	2468013	39.9207	116.452
4450516	2893464	39.9207	116.452
4456946	4071692	39.9001	116.485
4460160	3180487	39.9319	116.457
4465879	5414806	39.9292	116.464
4467084	3572484	39.9036	116.474
4467084	3587880	39.9036	116.474
